날짜,리뷰 제목,리뷰 내용
2015-02-12 00:00:00,,"After a year and several thousand miles, It is time for a review so others can use as a reference. The gas mileage is as advertised. Average about 26m/gal (mostly highway). City is about 21. Some people complaint about the transmission and the car's power, but it is not true. They must learn how to use eco mode and sport mode to bring out the car true performance (play with shift paddle some time also). With my personal experience, I use eco mode on highway and sport mode on back road or city road. The car has good surrounding view and I love the rear view camera. The cargo area is almost as big as my 1998 grand Cherokee and the rear seats could be folded real flat. 

Review update:

Currently in August 2017, This 2014 RAV-4 has been seized by my wife and I have to use her 2014 Prius-4 to get around town and to commute to work. The RAV-4 still running great without any issue. I just change oil and filter once a year. I did not bring the car back to the local dealer for free oil changes and checkup. I have no trust for anyone but me taking care of any vehicle I own and operate. I still make people mad at traffic lights because they did not believe the RAV-4 could be so responsive  at start (using the sport mode. I also make people mad with my Prius using the Power mode.)

After 3 years driving the 2014 RAV-4, we (my wife and I) have no issues. We found it quite fast when use ""Power"" button. Now the model is becoming old and out of style. I just wish that Toyota will come up with something slightly bigger with more ground clearance, more cargo area and adjustable rear seats (for smart cargo management). put exhaust pipe  in higher place undercarriage. We also want to see more color options for next generation. If we don't see new features, we might have to pick CRV instead."
2018-02-02 00:00:00,,"I have a 2014 Rav4 purchased new.  Has anyone had a problem with their RPM's surging or the Transmission not going into drive or not changing gears after the recalled Torque converter was replaced.  This only happens when it's cold.  My dealership has been trying to find the problem for 2 months to no avail.  I absolutely no problems until the torque converter was replaced.

Update 08/14/18  My dealership (Prince Toyota Tifton Ga) never found a problem.  I had video to prove the problem.  I have had no problem since the weather has been hot.  Only time will tell when winter comes."
2016-07-30 00:00:00,,Before you but a Rav4 there is a engine noise at 55-60 mph. The mechanic says that is normal but did not happen to us until 250 miles was put on the vehicle. Very sad because of the price you have to pay for the Rav.
2018-07-26 00:00:00,,"It seems that Toyota has determined that, like American car manufacturers, customer satisfaction is not as important as making every single penny they can from each customer. Example: after 4 years, the stereo system in our 2014 Rav4 has stopped working and is in a constant rebooting loop. There have been numerous reports of this online and the only solution (according to Toyota) is to purchase a new radio from them. Ridiculous! Toyota has dishonored their family name and is a disgrace to the Japanese  people - shame on them!Performance4 out of 5 stars"
2018-06-20 00:00:00,,"My onboard radio went out of commission at the 4th year. I spent another $780 to get a new one.They said the wiring and interface of Toyota radio was too complicated to work properly. I never drove a car with radio went dead first. Is this ""Toyota quality""?  OMG!  They ought to be ashamed of themselves. Not gonna buy Toyota anymore."
2018-05-15 00:00:00,,"After ""only"" 4 years of having my Rav4 2014 now I don't have a functional sound stereo, instead I have a weird image, I went to Toyota dealer and they didn't find the problem, now I stuck with a vehicle that I didn't pay yet,  with no sound at all,I am very disappointed."
2018-04-13 00:00:00,,Very happy with this Toyota purchase.
2018-02-09 00:00:00,,"A great economic vehicle the RAV4.  I thank, the staff and employees, of off lease only Orlando.  Thank you, again to the sales reps Sam Hackett, Tommy H, sales manager Vince and also Jose in finance department.  Wonderful service guys keep up the great work."
2018-01-15 00:00:00,,I love my suv 🚙 everything good for now
2017-11-30 00:00:00,,This SUV is is quite comfortable it has enough space for running around town but also to go out and camp or do other activities on the weekend. Soft ride when going over 45 mph but a little rough suspension on the rear feels like a truck suspension. One thing i do miss is the sunglasses holder. Also the navigation system seems outdated and the entertainment system is a little on the slow side. Other than that its a all in one package vehicle that feels complete. Haven't had the chance to take it out in the snow but will be doing it later in the year!
2014-11-22 00:00:00,,"I purchased a new RAV 4 in April of this year. My 2014 RAV 4 was the XLE with front wheel drive only which was rated for 24 city and 31 hwy mpg. I have over 5000 miles on it and have taken multiple highway trips and driven it to work locally each day. No mater what driving condition, I have only achieved 24 mpg.  I tried different gas octanes and no difference.  My Mazda's always achieved there rated mileage so the idea of my driving habits have nothing to do with it. This car is a lemon and the dealer will not even talk to me about it. I cannot promote this car that does not do what it was advertised to do.  Two years later and the gas mileage still sucks!  No improvement.
Update-2017: I traded this gas sucking RAV-4 and got a nice Honda CRV that gets 35 mpg as advertised.  On the RAV-4, the Berglund Toyota dealer in Lynchburg VA and Toyota HQ refused to back their advertising and did nothing but try to blame it on my driving! I will never buy or rent any Toyota product until I'm dead and will not drive one in heaven because all Toyota cars and dealers will be in hell!Performance1 out of 5 starsInterior1 out of 5 starsComfort1 out of 5 starsReliability1 out of 5 starsValue1 out of 5 stars"
